id,country,year,Y,K,pop,L,s,alpha_it,GDPpc,lp,h,kl,kp,ky,TFP,log_GDPpc_raw,log_lp_raw,log_ky_raw,log_h_raw,log_tfp_raw,log_GDPpc,log_lp,log_ky,log_h,log_tfp,region,hi1990,isocode
62,Mozambique,1990,7034,6262,13.371971,5.4137101,.99646938,.57377052,526.02563,1299.2938,1.3470761,1156.6929,1.1232833,.89024734,203.95497,6.2653499,7.1695762,-.11625594,.29793635,5.3178992,6.1637506,7.0502329,-.12906311,.27704048,5.257494,Africa,no,MOZ
62,Mozambique,1991,7742.9995,6462,13.719853,5.5931902,.98293817,.57377052,564.36462,1384.3619,1.3436331,1155.3335,1.1982358,.83456028,220.00262,6.3357005,7.2329946,-.18085031,.29537719,5.3936396,6.195724,7.0757446,-.13016182,.27968875,5.286922,Africa,no,MOZ
62,Mozambique,1992,6792,6592,14.203987,5.8447289,.96940702,.57377052,478.1756,1162.0728,1.340181,1127.8539,1.0303398,.97055358,189.11493,6.1699781,7.0579605,-.029888673,.29280469,5.2423549,6.227951,7.1015544,-.13122849,.28238922,5.3165007,Africa,no,MOZ
62,Mozambique,1993,7223,6859,14.775877,6.18786,.95587581,.57377052,488.83731,1167.2856,1.33672,1108.4608,1.053069,.94960541,194.96194,6.19203,7.0624366,-.051708743,.29021883,5.2728043,6.2610359,7.1283541,-.13235785,.28523341,5.3466477,Africa,no,MOZ
62,Mozambique,1994,8194,7246,15.363065,6.5136719,.94234449,.57377052,533.35712,1257.9694,1.33325,1112.4294,1.1308308,.8843056,213.73721,6.279191,7.1372542,-.12295258,.28761959,5.364747,6.2954378,7.1567264,-.13339126,.28833878,5.3775969,Africa,no,MOZ
62,Mozambique,1995,7671,7734,15.913101,6.8047209,.92881328,.57377052,482.05563,1127.3057,1.32977,1136.5638,.99185413,1.0082128,193.19904,6.1780596,7.0275855,.0081792632,.28500596,5.263721,6.3314428,7.1870885,-.13396843,.29183534,5.4093947,Africa,no,MOZ
62,Mozambique,1996,9125,8121,16.410776,7.06633,.95912337,.57377052,556.03705,1291.3351,1.337551,1149.2529,1.12363,.88997263,222.91809,6.3208351,7.1634321,-.11656457,.29084033,5.4068046,6.3692975,7.2198095,-.13370299,.2958512,5.4420571,Africa,no,MOZ
13,Burundi,2004,4936,10047,7.661613,3.3856571,2.814218,.170386,644.25073,1457.9149,1.774773,2967.5186,.49129093,2.0354538,130.52805,6.4680882,7.2847624,.71071881,.57367253,4.8715882,6.4260907,7.2474642,.67905647,.57743442,4.8574214,Africa,no,BDI
13,Burundi,2003,4666,9311,7.4012151,3.2416101,2.7503631,.1777481,630.43701,1439.4082,1.760193,2872.3381,.50112772,1.9954994,128.7034,6.446413,7.2719874,.69089431,.56542343,4.8575106,6.4239612,7.2488356,.69257808,.56728685,4.8460469,Africa,no,BDI
13,Burundi,2005,4905,10754,7.9342132,3.534642,2.878073,.1630238,618.20874,1387.6936,1.789351,3042.458,.45610934,2.1924567,124.70314,6.426826,7.2353983,.78502274,.58185297,4.8259358,6.4320583,7.2494888,.66012925,.58763367,4.8733339,Africa,no,BDI
